ID,Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5
542,SR Patel (ENG),2008-2013,36,32,1187,1091,24,5/1/1941,45.45,5.51,49.4,0,1
543,KR Pushpakumara (SL),1994-1999,31,31,1430,1181,24,3/25/2025,49.2,4.95,59.5,0,0
544,JA Richardson (AUS),2018-2019,12,12,648,632,24,4/26/2025,26.33,5.85,27,1,0
545,O Thomas (WI),2018-2019,19,18,716,825,24,5/21/2025,34.37,6.91,29.8,1,1
546,Yasir Shah (PAK),2011-2019,25,24,1293,1150,24,6/26/2025,47.91,5.33,53.8,1,1
547,Aizaz Cheema (PAK),2011-2012,14,14,658,593,23,4/1/1943,25.78,5.4,28.6,2,0
548,JC Archer (ENG),2019-2019,14,14,737,569,23,3/27/2025,24.73,4.63,32,0,0
549,DAJ Bracewell (NZ),2011-2019,19,19,932,798,23,4/1/1955,34.69,5.13,40.5,1,0
550,NG Cowans (ENG),1983-1985,23,23,1282,913,23,3/1/1944,39.69,4.27,55.7,0,0
551,KM Dabengwa (ZIM),2005-2010,37,35,1109,936,23,3/15/2025,40.69,5.06,48.2,0,0
552,WW Daniel (WI),1978-1984,18,18,912,595,23,3/27/2025,25.86,3.91,39.6,0,0
553,SR Gillespie (NZ),1986-1988,19,19,963,736,23,4/30/2025,32,4.58,41.8,1,0
554,G Goudie (SCOT),2008-2013,16,16,729,623,23,5/1/1973,27.08,5.12,31.6,0,1
555,ND Hirwani (INDIA),1988-1992,18,18,960,719,23,4/1/1943,31.26,4.49,41.7,3,0
556,TG Hogan (AUS),1983-1984,16,15,917,574,23,4/1/1933,24.95,3.75,39.8,1,0
557,KAD Hurdle (BMUDA),2006-2007,19,19,905,831,23,3/24/2025,36.13,5.5,39.3,0,0
558,Manjural Islam Rana (BDESH),2003-2006,25,23,996,689,23,4/1/1934,29.95,4.15,43.3,2,0
559,S Mukuddem (BMUDA),2006-2007,20,20,960,752,23,4/1/1940,32.69,4.7,41.7,1,0
560,BTJ Wheal (SCOT),2016-2019,13,13,687,508,23,3/1/1934,22.08,4.43,29.8,0,0
561,DR Brown (ENG/SCOT),1997-2007,25,25,953,919,22,3/1/1937,41.77,5.78,43.3,0,0
562,DM de Silva (SL),2016-2019,42,35,1028,899,22,3/1/1932,40.86,5.24,46.7,0,0
563,DR Doshi (INDIA),1980-1982,15,15,792,524,22,4/30/2025,23.81,3.96,36,2,0
564,Farhad Reza (BDESH),2006-2011,34,32,1139,1017,22,5/1/1942,46.22,5.35,51.7,0,1
565,DAS Gunaratne (SL),2016-2019,31,25,834,723,22,3/10/2025,32.86,5.2,37.9,0,0
566,BP Julian (AUS),1993-1999,25,25,1146,997,22,3/1/1940,45.31,5.21,52,0,0
567,RN Lewis (WI),1997-2009,28,25,1150,983,22,3/1/1943,44.68,5.12,52.2,0,0
568,ML Nkala (ZIM),1998-2006,50,46,1582,1570,22,3/12/2025,71.36,5.95,71.9,0,0
569,E Otieno (KENYA),2007-2014,26,25,954,927,22,4/1/1933,42.13,5.83,43.3,1,0
570,MW Pringle (SA),1992-1994,17,17,870,604,22,4/11/2025,27.45,4.16,39.5,1,0
571,JE Root (ENG),2013-2019,143,64,1414,1364,22,3/1/1952,62,5.78,64.2,0,0
572,SK Sharma (INDIA),1988-1990,23,22,979,813,22,5/26/2025,36.95,4.98,44.5,0,1
573,Sohag Gazi (BDESH),2012-2014,20,19,919,722,22,4/29/2025,32.81,4.71,41.7,1,0
574,WF Stelling (NL),2006-2007,15,15,699,567,22,3/12/2025,25.77,4.86,31.7,0,0
575,Al-Amin Hossain (BDESH),2014-2015,14,14,603,523,21,4/1/1951,24.9,5.2,28.7,2,0
576,JT Ball (ENG),2016-2018,18,18,947,980,21,5/1/1951,46.66,6.2,45,0,1
577,DH Brain (ZIM),1992-1995,23,23,1091,849,21,3/1/1951,40.42,4.66,51.9,0,0
578,AC Dawson (SA),1998-2004,19,19,901,715,21,4/1/1949,34.04,4.76,42.9,1,0
579,RMS Eranga (SL),2011-2016,19,17,716,686,21,3/1/1946,32.66,5.74,34,0,0
580,CN Evans (ZIM),1992-2002,53,34,964,848,21,3/11/2025,40.38,5.27,45.9,0,0
581,M Hayward (SA),1998-2002,21,21,993,858,21,4/1/1931,40.85,5.18,47.2,1,0
582,NB Mahwire (ZIM),2004-2006,23,21,885,775,21,3/29/2025,36.9,5.25,42.1,0,0
583,WP Masakadza (ZIM),2015-2018,17,16,859,734,21,4/21/2025,34.95,5.12,40.9,1,0
584,Mohsin Kamal (PAK),1984-1989,19,19,881,760,21,4/1/1947,36.19,5.17,41.9,1,0
585,PP Ojha (INDIA),2008-2012,18,17,876,652,21,4/1/1938,31.04,4.46,41.7,1,0
586,AO Suji (KENYA),1996-2008,60,46,1295,1175,21,2/14/2025,55.95,5.44,61.6,0,0
587,Wasim Raja (PAK),1973-1985,54,29,1036,687,21,4/25/2025,32.71,3.97,49.3,1,0
588,MH Yardy (ENG),2006-2011,28,28,1332,1075,21,3/24/2025,51.19,4.84,63.4,0,0
589,Kabir Ali (ENG),2003-2006,14,13,673,682,20,4/1/1945,34.1,6.08,33.6,1,0
590,STR Binny (INDIA),2014-2015,14,12,490,439,20,6/4/2025,21.95,5.37,24.5,0,1
591,TS Chisoro (ZIM),2015-2018,18,16,768,556,20,3/16/2025,27.8,4.34,38.4,0,0
592,DT Christian (AUS),2012-2014,19,19,727,595,20,5/31/2025,29.75,4.91,36.3,0,1
593,Faheem Ashraf (PAK),2017-2019,23,22,902,744,20,5/22/2025,37.2,4.94,45.1,0,1
594,DR Hadlee (NZ),1973-1976,11,11,628,364,20,4/1/1934,18.2,3.47,31.4,1,0
595,A Jadeja (INDIA),1992-2000,196,52,1248,1094,20,3/3/2025,54.7,5.25,62.4,0,0
596,RT Lyons (SCOT),2006-2010,25,23,1093,901,20,3/21/2025,45.05,4.94,54.6,0,0
597,N Madziva (ZIM),2014-2016,12,12,520,519,20,4/1/1949,25.95,5.98,26,1,0
598,JO Ngoche (KENYA),2010-2013,17,17,878,569,20,3/18/2025,28.45,3.88,43.9,0,0
599,KMA Paul (WI),2018-2019,16,16,740,737,20,3/1/1944,36.85,5.97,37,0,0
600,NO Perry (WI),1999-2000,21,21,946,783,20,3/1/1945,39.15,4.96,47.3,0,0
601,N Pokana (PNG),2017-2019,14,14,641,503,20,3/25/2025,25.15,4.7,32,0,0
602,Rashid Khan (PAK),1980-1985,29,28,1414,923,20,3/1/1947,46.15,3.91,70.7,0,0
603,DA Reeve (ENG),1991-1996,29,28,1147,820,20,3/20/2025,41,4.28,57.3,0,0
604,Shoaib Mohammad (PAK),1984-1993,63,35,919,725,20,3/20/2025,36.25,4.73,45.9,0,0
605,RML Taylor (SCOT),2013-2016,15,15,713,617,20,3/1/1939,30.85,5.19,35.6,0,0
606,MHN Walker (AUS),1974-1981,17,17,1006,546,20,4/19/2025,27.3,3.25,50.3,1,0
607,GG Arnold (ENG),1972-1975,14,13,714,339,19,4/27/2025,17.84,2.84,37.5,1,0
608,PVD Chameera (SL),2015-2019,23,23,895,796,19,3/20/2025,41.89,5.33,47.1,0,0
609,TM Chappell (AUS),1980-1983,20,14,736,538,19,3/31/2025,28.31,4.38,38.7,0,0
610,Enamul Haque (BDESH),1990-2002,29,28,1238,1083,19,2/1/1940,57,5.24,65.1,0,0
611,AW Greig (ENG),1972-1977,22,19,916,619,19,4/1/1945,32.57,4.05,48.2,1,0
612,VA Holder (WI),1973-1978,12,12,681,454,19,5/1/1950,23.89,4,35.8,0,1
613,RD Jackman (ENG),1974-1983,15,15,873,598,19,3/1/1941,31.47,4.1,45.9,0,0
614,DS Kulkarni (INDIA),2014-2016,12,12,598,508,19,4/1/1934,26.73,5.09,31.4,1,0
615,MA Leask (SCOT),2014-2019,34,31,1142,1019,19,4/1/1937,53.63,5.35,60.1,1,0
616,BJ McKechnie (NZ),1975-1981,14,14,818,495,19,3/23/2025,26.05,3.63,43,0,0
617,JN Maguire (AUS),1983-1984,23,20,1009,769,19,3/1/1961,40.47,4.57,53.1,0,0
618,Mohammad Akram (PAK),1995-2000,23,21,989,790,19,2/28/2025,41.57,4.79,52,0,0
619,Mushfiqur Rahman (BDESH),2000-2004,28,28,1332,983,19,2/21/2025,51.73,4.42,70.1,0,0
620,PDRL Perera (SL),1999-2007,19,19,888,820,19,3/23/2025,43.15,5.54,46.7,0,0
621,Shahid Nazir (PAK),1996-2000,17,17,810,649,19,3/14/2025,34.15,4.8,42.6,0,0
622,T Shamsi (SA),2016-2019,17,17,879,798,19,4/1/1933,42,5.44,46.2,1,0
623,M Sheikh (KENYA),1997-2000,21,21,778,625,19,4/1/1936,32.89,4.82,40.9,1,0
624,Sohail Khan (PAK),2008-2016,13,13,666,597,19,5/1/1955,31.42,5.37,35,0,1
625,Tanwir Afzal (HKG),2014-2018,20,19,852,601,19,3/20/2025,31.63,4.23,44.8,0,0
626,AJ Traicos (ZIM),1983-1993,27,26,1524,987,19,3/1/1935,51.94,3.88,80.2,0,0
627,PCR Tufnell (ENG),1990-1997,20,20,1020,699,19,4/22/2025,36.78,4.11,53.6,1,0
628,Anwar Ali (PAK),2013-2016,22,22,927,944,18,3/1/1966,52.44,6.11,51.5,0,0
629,GD Campbell (AUS),1989-1990,12,12,613,404,18,3/17/2025,22.44,3.95,34,0,0
630,RO Collinge (NZ),1973-1978,15,15,859,479,18,5/23/2025,26.61,3.34,47.7,0,1
631,MD Dai (PNG),2014-2018,18,18,954,675,18,3/1/1958,37.5,4.24,53,0,0
632,DR Gilbert (AUS),1986-1986,14,14,684,552,18,5/1/1946,30.66,4.84,38,0,1
633,DJ Hussey (AUS),2008-2013,69,39,802,698,18,4/21/2025,38.77,5.22,44.5,2,0
634,BD Julien (WI),1973-1977,12,12,778,463,18,4/20/2025,25.72,3.57,43.2,2,0
635,AP Kuiper (SA),1991-1996,25,19,588,518,18,3/1/1933,28.77,5.28,32.6,0,0
636,J Lewis (ENG),2005-2007,13,13,716,500,18,4/1/1936,27.77,4.18,39.7,1,0
637,CS Martin (NZ),2001-2008,20,19,948,804,18,3/1/1962,44.66,5.08,52.6,0,0
638,Mohammad Ashraful (Asia/BDESH),2001-2013,177,40,697,661,18,3/26/2025,36.72,5.69,38.7,0,0
639,B Muzarabani (ZIM),2018-2018,18,18,786,733,18,4/1/1947,40.72,5.59,43.6,1,0
640,MV Nagamootoo (WI),2000-2002,24,24,1189,998,18,4/1/1932,55.44,5.03,66,1,0
641,AH Omarshah (ZIM),1983-1996,28,25,1077,812,18,3/1/1933,45.11,4.52,59.8,0,0
642,Rahat Ali (PAK),2012-2016,14,14,679,658,18,3/1/1940,36.55,5.81,37.7,0,0
643,KT Sandher (CAN),2006-2007,15,15,696,569,18,3/24/2025,31.61,4.9,38.6,0,0
644,GC Smith (Afr/SA),2002-2013,197,43,1026,951,18,3/30/2025,52.83,5.56,57,0,0
645,CB Sole (SCOT),2016-2018,11,11,522,468,18,4/28/2025,26,5.37,29,2,0
646,RE van der Merwe (NL/SA),2009-2019,15,15,789,658,18,3/27/2025,36.55,5,43.8,0,0
647,KC Wessels (AUS/SA),1983-1994,109,23,749,666,18,2/16/2025,37,5.33,41.6,0,0
648,AG Wharf (ENG),2004-2005,13,13,584,428,18,4/24/2025,23.77,4.39,32.4,1,0
649,LR Williams (WI),1996-2001,15,15,659,556,18,3/16/2025,30.88,5.06,36.6,0,0
650,Adeel Raja (NL),2002-2011,21,21,846,690,17,4/1/1942,40.58,4.89,49.7,1,0
651,DJ Capel (ENG),1987-1990,23,22,1038,805,17,3/1/1938,47.35,4.65,61,0,0
652,EAR de Silva (SL),1986-1992,28,28,1374,967,17,3/1/1938,56.88,4.22,80.8,0,0
653,MV Fleming (ENG),1997-1998,11,11,523,434,17,4/1/1945,25.52,4.97,30.7,1,0
654,HH Kanitkar (INDIA),1997-2000,34,28,1006,803,17,2/22/2025,47.23,4.78,59.1,0,0
655,JJC Lawson (WI),2001-2005,13,12,558,498,17,4/1/1957,29.29,5.35,32.8,1,0
656,Mohammad Nawaz (3) (PAK),2016-2019,15,15,699,607,17,4/1/1942,35.7,5.21,41.1,1,0
657,J Nyumbu (ZIM),2014-2015,19,18,844,738,17,3/1/1942,43.41,5.24,49.6,0,0
658,PADLR Sandakan (SL),2016-2019,21,20,961,1031,17,4/1/1952,60.64,6.43,56.5,1,0
659,A Shahzad (ENG),2010-2011,11,11,588,490,17,3/1/1941,28.82,5,34.5,0,0
660,PM Siddle (AUS),2009-2019,20,19,901,743,17,3/1/1955,43.7,4.94,53,0,0
661,J Theron (SA/USA),2010-2019,9,9,412,379,17,5/1/1944,22.29,5.51,24.2,0,1
662,Aizaz Khan (HKG),2014-2018,19,19,728,680,16,2/26/2025,42.5,5.6,45.5,0,0
663,Asif Iqbal (PAK),1973-1979,10,10,592,378,16,4/1/1956,23.62,3.83,37,1,0
664,JP Behrendorff (AUS),2019-2019,11,11,591,517,16,5/1/1944,32.31,5.24,36.9,0,1
665,SM Boland (AUS),2016-2016,14,13,716,725,16,3/1/1967,45.31,6.07,44.7,0,0
666,GR Codrington (CAN),2006-2007,17,17,731,577,16,4/1/1933,36.06,4.73,45.6,1,0
667,CD de Lange (SCOT),2016-2017,13,12,546,371,16,5/1/1960,23.18,4.07,34.1,0,1
668,Ehsan Nawaz (HKG),2014-2018,12,12,513,458,16,4/1/1947,28.62,5.35,32,2,0
669,GJ Gilmour (AUS),1974-1975,5,5,320,165,16,6/14/2025,10.31,3.09,20,0,2
670,PJC Hoffmann (SCOT),2006-2007,18,17,743,555,16,3/22/2025,34.68,4.48,46.4,0,0
671,SHU Karnain (SL),1984-1990,19,14,635,505,16,5/26/2025,31.56,4.77,39.6,0,1
672,DE Malcolm (ENG),1990-1994,10,10,526,404,16,3/1/1940,25.25,4.6,32.8,0,0
673,S Matsikenyeri (ZIM),2002-2015,113,38,920,778,16,2/25/2025,48.62,5.07,57.5,0,0
674,JL Pattinson (AUS),2011-2015,15,15,727,681,16,4/1/1951,42.56,5.62,45.4,1,0
675,BS Sandhu (INDIA),1982-1984,22,21,1110,763,16,3/27/2025,47.68,4.12,69.3,0,0
676,RR Sarwan (WI),2000-2013,181,25,581,586,16,3/31/2025,36.62,6.05,36.3,0,0
677,MC Sorensen (IRE),2013-2016,13,12,543,520,16,4/1/1940,32.5,5.74,33.9,1,0
678,RJW Topley (ENG),2015-2016,10,10,463,410,16,4/1/1950,25.62,5.31,28.9,1,0
679,RJ Trott (BMUDA),2007-2009,11,11,537,412,16,4/1/1946,25.75,4.6,33.5,1,0
680,MP Vaughan (ENG),2001-2007,86,28,796,649,16,4/22/2025,40.56,4.89,49.7,1,0
681,R Vijay Bharadwaj (INDIA),1999-2002,10,9,372,307,16,3/1/1934,19.18,4.95,23.2,0,0
682,Zakir Khan (PAK),1984-1990,17,16,646,494,16,4/19/2025,30.87,4.58,40.3,1,0
683,MR Adair (IRE),2019-2019,9,9,484,509,15,4/19/2025,33.93,6.3,32.2,2,0
684,KK Ahmed (INDIA),2018-2019,11,11,480,465,15,3/13/2025,31,5.81,32,0,0
685,PJW Allott (ENG),1982-1985,13,13,819,552,15,3/1/1941,36.8,4.04,54.6,0,0
686,CJA Amini (PNG),2014-2019,15,15,732,560,15,4/27/2025,37.33,4.59,48.8,1,0
687,Azeem Hafeez (PAK),1983-1985,15,14,719,586,15,4/22/2025,39.06,4.89,47.9,1,0
688,SL Boock (NZ),1978-1987,14,13,700,513,15,3/28/2025,34.2,4.39,46.6,0,0
689,DCC Borden (BMUDA),2006-2008,12,12,411,392,15,4/30/2025,26.13,5.72,27.4,1,0
690,Danish Kaneria (PAK),2001-2007,18,18,854,683,15,3/31/2025,45.53,4.79,56.9,0,0
691,G Dymock (AUS),1974-1980,15,14,806,412,15,2/21/2025,27.46,3.06,53.7,0,0
692,TCB Fernando (SL),2001-2003,17,17,700,586,15,5/1/1967,39.06,5.02,46.6,0,1
693,KD Ghavri (INDIA),1975-1981,19,19,1033,708,15,3/1/1940,47.2,4.11,68.8,0,0
694,S Lamichhane (NEPAL),2018-2019,6,6,319,222,15,4/24/2025,14.8,4.17,21.2,2,0
695,NC McGarrell (WI),1998-2001,17,17,859,681,15,3/1/1932,45.4,4.75,57.2,0,0
696,KH MacLeay (AUS),1983-1987,16,16,857,626,15,6/1/1939,41.73,4.38,57.1,0,1
697,GH O'Brien (BMUDA),2006-2008,9,9,456,405,15,3/31/2025,27,5.32,30.4,0,0
698,SS Pathirana (SL),2015-2017,18,18,765,720,15,3/1/1937,48,5.64,51,0,0
699,SM Patil (INDIA),1980-1986,45,20,864,589,15,2/28/2025,39.26,4.09,57.6,0,0
700,Rajin Saleh (BDESH),2003-2006,43,19,539,459,15,4/16/2025,30.6,5.1,35.9,1,0
701,AK Sharma (INDIA),1988-1993,31,29,1140,875,15,3/1/1941,58.33,4.6,76,0,0
702,L Sivaramakrishnan (INDIA),1985-1987,16,16,756,538,15,3/1/1935,35.86,4.26,50.4,0,0
703,CT Tremlett (ENG),2005-2011,15,15,784,705,15,4/1/1932,47,5.39,52.2,1,0
704,JTC Vaughan (NZ),1992-1996,18,17,696,524,15,4/1/1933,34.93,4.51,46.4,1,0
705,UWMBCA Welegedara (SL),2009-2010,10,9,457,433,15,5/1/1966,28.86,5.68,30.4,0,1
706,LJ Wright (ENG),2007-2014,50,37,1038,884,15,2/1/1934,58.93,5.1,69.2,0,0
707,JO Angara (KENYA),1997-2003,17,15,588,569,14,3/30/2025,40.64,5.8,42,0,0
708,Anshuman Rath (HKG),2014-2018,18,7,337,167,14,3/22/2025,11.92,2.97,24,0,0
709,F Behardien (SA),2013-2018,59,35,748,719,14,3/19/2025,51.35,5.76,53.4,0,0
710,DE Bernard (WI),2003-2010,20,17,624,526,14,3/1/1932,37.57,5.05,44.5,0,0
711,GS Blewett (AUS),1995-1999,32,24,749,646,14,2/6/2025,46.14,5.17,53.5,0,0
712,S Chanderpaul (WI),1994-2011,268,28,740,636,14,3/18/2025,45.42,5.15,52.8,0,0
713,GJ Cosier (AUS),1975-1979,9,8,409,248,14,5/18/2025,17.71,3.63,29.2,0,1
714,JWM Dalrymple (ENG),2006-2007,27,23,840,666,14,2/5/2025,47.57,4.75,60,0,0
715,Enamul Haque jnr (BDESH),2005-2009,10,10,576,422,14,3/16/2025,30.14,4.39,41.1,0,0
716,UC Hathurusingha (SL),1992-1999,35,25,954,709,14,4/1/1957,50.64,4.45,68.1,1,0
717,Jalal-ud-Din (PAK),1982-1983,8,7,306,211,14,4/1/1932,15.07,4.13,21.8,1,0
718,SKW Kelly (BMUDA),2006-2009,10,10,389,371,14,3/1/1936,26.5,5.72,27.7,0,0
719,D Mongia (INDIA),2001-2007,57,21,640,571,14,3/31/2025,40.78,5.35,45.7,0,0
720,Mosaddek Hossain (BDESH),2016-2019,35,33,902,787,14,3/13/2025,56.21,5.23,64.4,0,0
721,A Nao (PNG),2017-2019,13,13,613,495,14,3/1/1940,35.35,4.84,43.7,0,0
722,JD Nel (SCOT),2006-2010,19,19,730,649,14,4/25/2025,46.35,5.33,52.1,1,0
723,IE O'Brien (NZ),2008-2009,10,10,453,488,14,3/1/1968,34.85,6.46,32.3,0,0
724,Rahmat Shah (AFG),2013-2019,73,26,524,504,14,5/1/1932,36,5.77,37.4,0,1
725,Rumman Raees (PAK),2017-2018,9,9,463,464,14,3/1/1949,33.14,6.01,33,0,0
726,JA Snow (ENG),1971-1975,9,8,538,232,14,4/11/2025,16.57,2.58,38.4,2,0
727,Sohrawordi Shuvo (BDESH),2010-2011,17,17,762,572,14,3/14/2025,40.85,4.5,54.4,0,0
728,SA Ankola (INDIA),1989-1997,20,20,807,615,13,3/1/1933,47.3,4.57,62,0,0
729,MP Bicknell (ENG),1990-1991,7,7,413,347,13,3/1/1955,26.69,5.04,31.7,0,0
730,KD Boyce (WI),1973-1975,8,8,470,313,13,4/1/1950,24.07,3.99,36.1,1,0
731,ST Clarke (WI),1978-1982,10,10,524,245,13,3/22/2025,18.84,2.8,40.3,0,0
732,PC Connell (IRE),2008-2010,13,12,564,518,13,3/1/1968,39.84,5.51,43.3,0,0
733,TLW Cooper (NL),2010-2013,23,19,553,438,13,3/11/2025,33.69,4.75,42.5,0,0
734,PWH de Silva (SL),2017-2019,12,12,403,429,13,3/15/2025,33,6.38,31,0,0
735,Hamza Tahir (SCOT),2019-2019,6,6,338,228,13,5/1/1938,17.53,4.04,26,1,1
736,MN Hart (NZ),1994-2002,13,12,572,373,13,5/22/2025,28.69,3.91,44,0,1
737,RS Higgins (ZIM),2006-2006,11,11,544,380,13,4/21/2025,29.23,4.19,41.8,1,0
738,Ijaz Faqih (PAK),1980-1988,27,25,1116,819,13,4/1/1943,63,4.4,85.8,1,0
739,CBRLS Kumara (SL),2017-2019,13,13,544,623,13,2/26/2025,47.92,6.87,41.8,0,0
740,Majid Khan (PAK),1973-1982,23,15,658,374,13,3/27/2025,28.76,3.41,50.6,0,0
741,AD Mascarenhas (ENG),2007-2009,20,20,822,634,13,3/23/2025,48.76,4.62,63.2,0,0
742,Minhajul Abedin (BDESH),1986-1999,27,18,546,511,13,2/1/1939,39.3,5.61,42,0,0
743,Mohammad Hussain (PAK),1997-1998,14,13,672,547,13,4/1/1933,42.07,4.88,51.6,1,0
744,SN Netravalkar (USA),2019-2019,9,9,403,210,13,5/1/1932,16.15,3.12,31,0,1
745,ASA Perera (SL),1998-2001,20,18,579,522,13,2/25/2025,40.15,5.4,44.5,0,0
746,MDK Perera (SL),2007-2018,13,10,456,409,13,3/1/1948,31.46,5.38,35,0,0
747,DJ Reekers (NL),2006-2009,19,13,510,436,13,3/1/1954,33.53,5.12,39.2,0,0
748,JB Reva (PNG),2016-2018,9,9,405,357,13,3/1/1940,27.46,5.28,31.1,0,0
749,Sharafuddin Ashraf (AFG),2014-2019,17,17,764,559,13,3/29/2025,43,4.39,58.7,0,0
750,JN Snape (ENG),2001-2002,10,10,529,403,13,3/1/1943,31,4.57,40.6,0,0
751,Sompal Kami (NEPAL),2018-2019,6,6,301,247,13,5/1/1933,19,4.92,23.1,0,1
752,Tareq Aziz (BDESH),2002-2004,10,10,465,424,13,3/19/2025,32.61,5.47,35.7,0,0
753,S Thuraisingam (CAN),2003-2008,10,10,421,305,13,4/1/1935,23.46,4.34,32.3,1,0
754,JJ Tucker (BMUDA),2006-2009,26,21,819,701,13,2/23/2025,53.92,5.13,63,0,0
755,JJ van der Wath (SA),2006-2007,10,10,526,551,13,2/21/2025,42.38,6.28,40.4,0,0
756,P Willey (ENG),1977-1986,26,22,1031,659,13,3/1/1933,50.69,3.83,79.3,0,0
757,P Wilson (AUS),1997-1998,11,11,562,450,13,3/1/1939,34.61,4.8,43.2,0,0
758,Aftab Ahmed (BDESH),2004-2010,85,30,739,656,12,5/31/2025,54.66,5.32,61.5,0,1
759,Ahsan Malik (NL),2011-2014,12,11,471,408,12,3/1/1938,34,5.19,39.2,0,0
760,M Azharuddin (INDIA),1985-2000,334,24,552,479,12,3/19/2025,39.91,5.2,46,0,0
761,WD Balaji Rao (CAN),2008-2011,10,10,474,448,12,4/1/1957,37.33,5.67,39.5,1,0
762,HR Bryan (WI),1999-1999,15,15,722,518,12,4/24/2025,43.16,4.3,60.1,1,0
763,IP Butchart (ZIM),1983-1995,20,16,702,640,12,3/1/1957,53.33,5.47,58.5,0,0
764,ADR Campbell (ZIM),1992-2003,188,30,509,434,12,2/20/2025,36.16,5.11,42.4,0,0
765,PA Desai (CAN),2010-2014,13,13,612,485,12,3/1/1935,40.41,4.75,51,0,0
766,AB Dinda (INDIA),2010-2013,13,13,594,612,12,2/1/1944,51,6.18,49.5,0,0
767,H Durham (BMUDA),2006-2006,9,8,400,343,12,4/1/1945,28.58,5.14,33.3,1,0
768,AM Ellis (NZ),2012-2013,15,13,480,425,12,2/22/2025,35.41,5.31,40,0,0
769,RM Ellison (ENG),1984-1986,14,14,696,510,12,3/1/1942,42.5,4.39,58,0,0
770,AM Guruge (UAE),2014-2015,7,7,351,337,12,4/1/1956,28.08,5.76,29.2,1,0
771,TM Head (AUS),2016-2018,42,26,765,737,12,2/22/2025,61.41,5.78,63.7,0,0
772,PA Hitchcock (NZ),2002-2008,14,12,558,468,12,3/30/2025,39,5.03,46.5,0,0
773,AG Hurst (AUS),1975-1979,8,7,402,203,12,5/21/2025,16.91,3.02,33.5,0,1
774,Iqbal Qasim (PAK),1977-1988,15,14,664,500,12,3/13/2025,41.66,4.51,55.3,0,0
775,Kabir Khan (PAK),1994-2000,10,9,371,303,12,2/23/2025,25.25,4.9,30.9,0,0
776,TP Kamungozi (ZIM),2006-2015,14,13,636,548,12,2/1/1936,45.66,5.16,53,0,0
777,Khurram Khan (UAE),2004-2015,16,11,498,432,12,4/1/1932,36,5.2,41.5,1,0
778,RK Kleinveldt (SA),2013-2013,10,10,513,448,12,4/22/2025,37.33,5.23,42.7,1,0
779,CM Kuggeleijn (NZ),1988-1989,16,16,817,604,12,2/1/1931,50.33,4.43,68,0,0
780,GA Lamb (ZIM),2010-2011,15,15,642,467,12,3/1/1945,38.91,4.36,53.5,0,0
781,SG Law (AUS),1994-1999,54,25,807,635,12,2/22/2025,52.91,4.72,67.2,0,0
782,RJ McCurdy (AUS),1985-1985,11,11,515,375,12,3/19/2025,31.25,4.36,42.9,0,0
783,DR Martyn (AUS),1992-2006,208,31,794,704,12,2/21/2025,58.66,5.31,66.1,0,0
784,SF Mire (ZIM),2014-2019,47,19,507,515,12,4/1/1943,42.91,6.09,42.2,1,0
785,SO Ngoche (KENYA),2010-2014,14,13,569,431,12,2/28/2025,35.91,4.54,47.4,0,0
786,MA Parker (SCOT),2010-2010,10,10,414,327,12,4/1/1933,27.25,4.73,34.5,1,0
787,RG Petrie (NZ),1990-1991,12,12,660,449,12,2/25/2025,37.41,4.08,55,0,0
788,PWE Rawson (ZIM),1983-1987,10,10,571,427,12,3/1/1947,35.58,4.48,47.5,0,0
789,JD Ryder (NZ),2008-2014,48,19,407,412,12,3/29/2025,34.33,6.07,33.9,0,0
790,Simi Singh (IRE),2017-2019,15,12,570,378,12,3/15/2025,31.5,3.97,47.5,0,0
791,SR Thompson (IRE),2013-2017,20,16,559,490,12,2/17/2025,40.83,5.25,46.5,0,0
792,AJ Tye (AUS),2018-2018,7,7,387,392,12,5/1/1946,32.66,6.07,32.2,0,1
793,I Udana (SL),2012-2019,15,15,639,631,12,2/1/1941,52.58,5.92,53.2,0,0
794,KEA Upashantha (SL),1995-2001,12,12,564,481,12,4/1/1937,40.08,5.11,47,1,0
795,RR Watson (SCOT),2006-2010,35,17,570,528,12,3/18/2025,44,5.55,47.5,0,0
796,CL White (AUS),2005-2018,91,19,331,351,12,3/5/2025,29.25,6.36,27.5,0,0
797,PJ Wiseman (NZ),1998-2003,15,13,450,368,12,4/1/1945,30.66,4.9,37.5,1,0
798,Aamer Nazir (PAK),1993-1995,9,9,417,346,11,3/1/1943,31.45,4.97,37.9,0,0
799,VR Aaron (INDIA),2011-2014,9,9,380,419,11,3/24/2025,38.09,6.61,34.5,0,0
800,RW Ali (KENYA),1996-1997,9,9,338,255,11,3/17/2025,23.18,4.52,30.7,0,0
801,Amir Hayat (UAE),2018-2019,9,9,449,382,11,3/19/2025,34.72,5.1,40.8,0,0
802,LS Baker (WI),2008-2009,10,9,426,355,11,3/1/1947,32.27,5,38.7,0,0
803,RL Chase (WI),2017-2019,25,18,641,511,11,3/30/2025,46.45,4.78,58.2,0,0
804,R Clarke (ENG),2003-2006,20,14,469,415,11,2/28/2025,37.72,5.3,42.6,0,0
805,HT Davis (NZ),1994-1997,11,11,432,436,11,4/1/1935,39.63,6.05,39.2,1,0
806,Z Groenewald (NAM),2019-2019,4,4,198,130,11,5/20/2025,11.81,3.93,18,0,1
